Name,Location,Classifications,Additional Classification Details,BIBOC Owned?,Detailed Demographic Information,Short description/additional Details ,Website,Social,Contact,Notes,Address or General Location,Lat,Long
Baptista Farms,NE,"livestock, poultry",,Yes,Black,Baptista Farms produces poultry in addition to a calf-cow operation. Manure is also used to help fertlize neighboring farm land,https://www.dtnpf.com/agriculture/web/ag/news/article/2020/08/21/young-black-first-generation-succeed,https://twitter.com/excusezemua?lang=en,https://www.linkedin.com/in/zemua-baptista-475062177/,"Zemua Baptista is a young, black, first genreation farm owner","818 8TH STREET, FRIEND, NE 68359
United States",40.64840444,-97.2826943
Nathan Bradford Jr,NE,"ranch, cattle ",,Yes,Black,80 acre ranch with cattle ,,https://www.facebook.com/GLineMeats,,"Nathan Bradford Jr is the name of the farmer: He is discussed in this article: http://netnebraska.org/article/news/1245574/our-heart-it-black-farmers-work-keep-ancestral-legacy-alive, The reporter of this article pointed me to G Line Wildgame which is run by the same individual ","31595 S 321st W Ave Bristow, OK 74010",35.70813767,-96.347329
Grow a Young Black Farmer in Minnesota,MN,"Future project, education, goat milk and cheese dairy",,Yes,Black,"This farm is currently 'Singing Hills Goat Dairy'. The owners neice, Lizzy, is fundrasing to buy the farm ""which will be converted into an agricultural and artistic resource for Black Minnesotans and their families. When fully operative, this land will function as a farm, a gathering place, a learning facility, and a generative nexus for wellness and creativity. """,https://www.gofundme.com/f/blackland2021,https://www.facebook.com/SingingHillsGoatDairy/?ref=page_internal,,,"Nerstrand, MN 55053",44.34353985,-93.06408892
Gila River Farms,AZ,"alfalfa, cotton, wheat, orchards, produce, and olive trees",,Yes,Indigenous,Gila River Farms is an enterprise of the Gila River Indian Community which produces commercial crops for consumers and provides employment and training opportunities for tribal members to benefit the Gila River Indian Community.,https://gilariverfarmssales.com/,https://www.facebook.com/Gila-River-Farms-238639212844175/,https://gilariverfarmssales.com/contact/,,"182 N. Old Hwy 93 or Off I-10 Exit 175 Sacaton, AZ 85138",33.09981982,-111.8417955
Circle R Farms,OK,"ranch, cattle ",,Yes,Black,"Circle R Farms Cattle Company is a family owned cattle ranch, going back seven generations. We strive to produce top quality commercial beef cattle.",https://www.nwiaa.org/circle-r-disability-ranch,https://www.gofundme.com/f/CircleRRanch,,,"68251 E 340 Rd Jay, OK 74346",36.52505374,-94.86300568
Johnson Family Farm,IL,"corn, soybeans and wheat",,Yes,Black,"Johnson Family Farms is a progressive, family-owned and operated business headquartered in west-central Illinois. Our family’s agricultural heritage can be traced back to the late 1860’s. Since that time, the faces of our farming operation have changed, but our core values and the way we operate have not.",,,,"The Johnson family — Lloyd’s great grandparents — bought the property in 1850. Featured in these articles: https://groundedbythefarm.com/black-farmer-lloyd-johnson/ , https://www.chicagotribune.com/news/ct-xpm-2005-06-12-0506120151-story.html","2344 Creed Road
Ashland, Illinois 62612",39.86186767,-90.02937244
Brownotter Buffalo Ranch,SD,buffalo ranch ,,Yes,Indigenous - Lakota-Yanktonai,"The Brownotter Buffalo Ranch is on the Standing Rock Indian Reservation and is over 20,000 acres with a herd of 600 ","
http://dakotabuffalohunt.com/",https://www.facebook.com/dakotabuffalohunt/,idesbuffaloguides@gmail.com,"""His operation is believed to be the largest bison ranch solely owned by an American Indian in the United States and Canada, according to the National Bison Association."" The ranch also runs buffalo hunts","Bullhead, SD 57621",45.77027337,-101.0839602
Ioway Bee Farm,KS,"bees, honey",,Yes,Indigenous,"Founded in 2017, the Ioway Bee Farm, owned and operated by the Iowa Tribe of Kansas and Nebraska, offers a variety of products such as raw honey, creamed honey, lotion bars, lip balms and beeswax candles.",https://iowaybeefarm.com/,https://www.facebook.com/IowayBeeFarm,inquiry@iowas.org,,"3345 B Thrasher Rd.,
White Cloud, KS 66094",39.99357655,-95.3719944
Chi’shie Farms,AZ,produce,,Yes,Indigenous -Navajo,,,https://www.facebook.com/chishie.farms,https://www.facebook.com/tyrone.thompson.3532,"Featured here: https://www.grandcanyontrust.org/blog/chishie-farms-growing-navajo-food-system-during-covid-19 , Growing Spaces 2020 Food Security Grant Winner",southwest corner of the Navajo Nation,35.26151279,-111.1152885
East New York Farms!,NY,produce,,Yes,Black,The mission of East New York Farms! is to organize youth and adults to address food justice in our community by promoting local sustainable agriculture and community-led economic development. East New York Farms! is a project of the United Community Centers in partnership with local residents.,https://ucceny.org/enyf/,,info@eastnewyorkfarms.org,,"613 New Lots Avenue
Brooklyn, NY 11207",40.66508737,-73.8866682
Foot Print Farm,MS,"produce, education",,Yes,"Black, women ","Foot Print Farms is the largest urban farm in the state of Mississippi, and its existence is indebted to Cindy Ayers, the founder of Foot Print Farms. They help train farmers throughout the state to work with communities and help address the issue of food deserts in Mississippi.  ",https://footprintfarmsms.com/,https://www.facebook.com/footprintfarmsms/,footprintfarmsMS@gmail.com,,"4945 South Dr, Jackson, MS 39209, USA",32.3162637,-90.26355091
Arcadial Farm,MN,produce ,,Yes,Black,"We specialize in growing varieties of garlic, vegetables, and chickens. ",https://www.arcadialfarm.com/,https://www.facebook.com/ArcadialFarmsLLC,info@arcadialfarms.com,,"Ruby, Michigan",43.04271946,-82.60750847
Big River Farms,MN,produce ,,Yes,Black,"Big River Farms offers education in organic agriculture for farmers who have historically been underrepresented in farm ownership—including BIPOC, women, and New American farmers.",https://bigriverfarms.thefoodgroupmn.org/,https://www.facebook.com/thefoodgroupmn/,"
http://www.thefoodgroupmn.org/
",,"14220 Ostlund Trl N Ste B,
Marine on St Croix, MN 55047",45.16911937,-92.81772445
Frog Town Farm,MN,produce ,,Yes,Black,Certified-organic urban demonstration farm that practices a permaculture approach and partners with local farmers to carry out a monthly pop-up produce distribution,https://www.frogtownfarm.org/,https://www.facebook.com/FrogtownFarm/,info@frogtownfarm.org,,"946 Minnehaha Ave W
St Paul, MN 55104",44.96243585,-93.13891973
Holistic Health Farms,MN,"produce, herbs ",,Yes,Black,"Grows and sells microgreens, ginger, herbs and tumeric; Makes vinegar from crops and sells",https://my-site-holistichealthfarms.square.site/,https://www.facebook.com/Holistic-Health-Farms-1655576084678553/,https://my-site-holistichealthfarms.square.site/,,"Holistic Health Farms
Saint Paul, mn 55104",44.94926687,-93.15188295
Naima's Farm,MN,"organic vegetables , education",,Yes,"Black, women","The farm grows 100% organic food while engaging the community at large in helping them discover the beauty of working at a farm. We offer lessons, training, and workshops to the community to educate them about the importance of eating organic healthy food.",https://naimasfarm.com/,https://www.facebook.com/naima.dhore,naciimad@gmail.com,,"Saint Paul, Minnesota",44.96360451,-93.15702154
Fennigan's Farms,MI,"education, consulting",,Yes,"Black, women","We build backyard/community gardens, greenhouses, farmstands, and markets for food sovereignty and those living in the margins.",https://fennigansfarms.com/,https://www.instagram.com/fennigansfarms/,https://fennigansfarms.com/contact,Sister founded ,"Ypsilanti, MI",42.2425601,-83.61525493
Brown Girl Farms,CA,"produce, flowers ",,Yes,"Black, women","Brown Girl Farms serves to provide beauty and care to the people through market vegetables, African American heritage crops, and unique seasonal flower bouquets. ",https://browngirlfarms.com/,https://www.instagram.com/browngirlfarms/?igshid=69228njtl6dt&fbclid=IwAR0tMIKZ42-Gatqu9Q332W7PGFFE44X8DrKFwWIM4Up1m_Qlx1kcv_eLEc0,browngirlfarms1@gmail.com,,"Hayward, CA",37.65327416,-122.0465698
Bunkhouse Acres ,WA,"produce, tree farm, eggs ",,Yes,"Black, women",Bunkhouse Acres is a 20-acre homestead and designated tree farm in the Middle Satsop Valley,https://bunkhouseacres.com/,https://www.instagram.com/bunkhouseacres/?igshid=178fr7uv7ydu3&fbclid=IwAR3vCyWD52EgH-f8hzDVSsibB1UQ3-gXCcWHLH3YrE9xifsfzLZkkSF6WFU,https://bunkhouseacres.com/contact-us/,,"Middle Satsop Valley, WA",47.04940202,-123.517182
Willow Run Acres,MI,"education, consulting",,Yes,Black,Willow Run Acres offers classes and shares knowledge of cultivation with all ages ,https://willowrunacres.com/about-us?fbclid=IwAR1G3rUhh-Vgu7VaA4w7PBO_o-nAtFrbeMVX0nw_6lLPhtIZAFU-Adte9sI,https://www.facebook.com/profile.php?id=100037179950119,734-717-4849,"TC, the founder of Willow Run Acres manages Many gardens and farms through out Michigan and Ohio.","111 South Wallace Boulevard, Ypsilanti, Michigan 48197, United States",42.23940715,-83.63175115
Three Sisters Gardens,CA,"produce, education",,Yes,"Indigenous, women",Three Sisters Gardens’ main goal is to give back to the community by inspiring and empowering youth through gardening. ,https://3sistersgardens.com/,https://www.instagram.com/threesistersgardens/?igshid=xw5vbe8tj1yo&fbclid=IwAR0tMIKZ42-Gatqu9Q332W7PGFFE44X8DrKFwWIM4Up1m_Qlx1kcv_eLEc0, info@3sistersgardens.com,Collection of 4 farms ,"317 4th Street
West Sacramento, California 95605",38.58824432,-121.511185
Heart of the Dragonfly Farm,NM,"produce, eggs, beef, lamb",,Yes,Indigenous ,Heart of the Dragonfly worked to revitalize and restore farmland that was inherited by the owners father from my grandfather ten years ago. ,https://www.dragonflyfarms.com/?fbclid=IwAR2Q2uacxgIkQAjqNKs_dFaVQXnpnpAbFRpeB39Ac_tMYiC1VyBxBfUvaQI,https://www.instagram.com/heartofthedragonflyfarm/?igshid=1lwg8cxf2l7b6&fbclid=IwAR0bw7BWIpCkP9zhWDgGJ2U4ff2LxBvPGgqYRl6njwslJPObsI0jdSm_2zI,,,"Pueblo of Isleta, NM",34.90752309,-106.6809016
"Tsuyya Farm

",AZ,produce ,,Yes,"Indigenous, women","I am currently farming in Albuquerque, NM with the focus on using sustainable Pueblo farming methods, saving seeds adapted to the Southwest, and providing the local community with healthy food. ",https://www.tsuyyafarm.com/,https://www.instagram.com/tsuyyafarm/?igshid=calndyow03i&fbclid=IwAR3Ccb5VntUMKMuUlbqAiFiHdFyY3hHuGJWtYeqe-t3M6iX4uY_JDZROr7I,https://www.tsuyyafarm.com/contact,,"South Valley ABQ, NM",35.01773063,-106.6688665
